ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
1482	2507	8055	Power	Water	1000	CF_Dist_Line
1483	2507	8010	Power	Water	1000	CF_Dist_Line
1484	2507	8054	Power	Water	1000	CF_Dist_Line
1485	2507	8503	Power	Water	1000	CF_Dist_Line
1486	2507	8062	Power	Water	1000	CF_Dist_Line
1487	2507	8056	Power	Water	1000	CF_Dist_Line
1488	2507	8057	Power	Water	1000	CF_Dist_Line
1489	2507	8058	Power	Water	1000	CF_Dist_Line
1490	2507	8052	Power	Water	1000	CF_Dist_Line
1491	3003	8060	Power	Water	1000	CF_Dist_Line
1492	3004	8059	Power	Water	1000	CF_Dist_Line
1493	3004	8501	Power	Water	1000	CF_Dist_Line
1494	3004	8036	Power	Water	1000	CF_Dist_Line
1495	3004	8050	Power	Water	1000	CF_Dist_Line
1496	3004	8040	Power	Water	1000	CF_Dist_Line
1497	3004	8038	Power	Water	1000	CF_Dist_Line
1498	2504	8033	Power	Water	1000	CF_Dist_Line
1499	2504	8034	Power	Water	1000	CF_Dist_Line
1500	2504	8047	Power	Water	1000	CF_Dist_Line
1501	3010	8039	Power	Water	1000	CF_Dist_Line
1502	2511	8005	Power	Water	1000	CF_Dist_Line
1503	2511	8506	Power	Water	1000	CF_Dist_Line
1504	2511	8004	Power	Water	1000	CF_Dist_Line
1505	2511	8030	Power	Water	1000	CF_Dist_Line
1506	3009	8003	Power	Water	1000	CF_Dist_Line
1507	3011	8029	Power	Water	1000	CF_Dist_Line
1508	3011	8002	Power	Water	1000	CF_Dist_Line
1509	3011	8022	Power	Water	1000	CF_Dist_Line
1510	3011	8006	Power	Water	1000	CF_Dist_Line
1511	3011	8008	Power	Water	1000	CF_Dist_Line
1512	3011	8015	Power	Water	1000	CF_Dist_Line
1513	3014	8024	Power	Water	1000	CF_Dist_Line
1514	3005	8027	Power	Water	1000	CF_Dist_Line
1515	3005	8026	Power	Water	1000	CF_Dist_Line
1516	3005	8016	Power	Water	1000	CF_Dist_Line
1517	3006	8028	Power	Water	1000	CF_Dist_Line
1518	3001	8045	Power	Water	1000	CF_Dist_Line
1519	3001	8046	Power	Water	1000	CF_Dist_Line
1520	2501	8508	Power	Water	1000	CF_Dist_Line
1521	2501	8017	Power	Water	1000	CF_Dist_Line
1522	3013	8023	Power	Water	1000	CF_Dist_Line
1523	3013	8018	Power	Water	1000	CF_Dist_Line
1524	3013	8019	Power	Water	1000	CF_Dist_Line
1525	3013	8020	Power	Water	1000	CF_Dist_Line
1526	3013	8021	Power	Water	1000	CF_Dist_Line
1527	3013	8509	Power	Water	1000	CF_Dist_Line
